Product ID,Product Name,Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Sales Date,Region,Sales Channel,Customer ID,Customer Segment,Salesperson ID,Discount Type,Return Reason,Order ID,Payment Method,,Months
31,Product_31,Christmas,34,2760.95,113,251.39,2396.56,7/9/2024,East,In-store,CUST_2853,Frequent,SP_3003,Fixed Amount,Change of Mind,ORD_67169,Online Payment,,July
35,Product_35,Christmas,50,3686.38,263.44,405.96,3016.98,7/9/2024,West,In-store,CUST_8295,Frequent,SP_4487,Fixed Amount,Defective,ORD_52824,Online Payment,,July
40,Product_40,Basket,43,2947.52,373.19,222.75,2351.58,7/9/2024,West,Online,CUST_7687,Frequent,SP_5473,Percentage,-,ORD_76432,Cash,,July
60,Product_60,Home Decor,19,4684.2,420.21,486.55,3777.4399999999996,7/9/2024,East,In-store,CUST_8834,High-value,SP_6607,Fixed Amount,-,ORD_84918,Credit Card,,July
105,Product_105,Home Decor,48,2997.09,406.39,357.55,2233.15,7/9/2024,North,Online,CUST_6114,New,SP_5904,Percentage,Change of Mind,ORD_49995,Online Payment,,July
130,Product_130,Christmas,6,2781.36,423.85,0.09,2357.42,7/9/2024,South,In-store,CUST_9129,New,SP_2944,Fixed Amount,-,ORD_32456,Online Payment,,July
134,Product_134,Christmas,9,2888.77,235.27,475.92,2177.58,7/9/2024,East,Online,CUST_2267,New,SP_5716,Percentage,Defective,ORD_48349,Online Payment,,July
147,Product_147,Art & Sculpture,30,3182.2,236.47,7.32,2938.41,7/9/2024,East,Online,CUST_3106,New,SP_4144,Percentage,-,ORD_79943,Cash,,July
233,Product_233,Home Decor,48,3421.22,496.75,141.61,2782.8599999999997,7/9/2024,South,Online,CUST_4740,High-value,SP_6766,Percentage,Change of Mind,ORD_97574,Online Payment,,July
265,Product_265,Art & Sculpture,48,3587.48,490.57,317.9,2779.0099999999998,7/9/2024,East,In-store,CUST_9468,New,SP_1738,Percentage,Change of Mind,ORD_58996,Cash,,July
274,Product_274,Home Decor,34,2916.7,203.16,493.4,2220.14,7/9/2024,West,In-store,CUST_7856,Frequent,SP_4004,Percentage,-,ORD_28655,Cash,,July
303,Product_303,Basket,23,4877.08,141.24,404.65,4331.1900000000005,7/9/2024,East,In-store,CUST_2873,High-value,SP_6869,Percentage,-,ORD_86984,Cash,,July
311,Product_311,Home Decor,24,3905.26,223.93,95.81,3585.5200000000004,7/9/2024,North,In-store,CUST_8109,New,SP_2319,Fixed Amount,Change of Mind,ORD_78167,Cash,,July
315,Product_315,Basket,10,3774.44,283.48,146.44,3344.52,7/9/2024,West,In-store,CUST_3683,Frequent,SP_5972,Percentage,Defective,ORD_28735,Online Payment,,July
